Username,RecipeID
user059,26
user104,91
user071,104
user036,22
user019,45
user014,7
user114,11
user124,42
user028,125
user013,124
user009,16
user079,11
user101,63
user007,12
user109,11
user116,108
user061,69
user057,24
user038,33
user012,7
user011,58
user090,38
user104,68
user098,100
user125,81
user055,20
user083,48
user110,67
user079,64
user015,120
user090,112
user059,14
user055,65
user074,53
user004,85
user010,34
user066,90
user011,35
user020,50
user099,10
user018,79
user042,119
user079,5
user034,15
user103,95
user050,90
user113,114
user110,66
user085,103
user040,80
user085,110
user055,104
user003,28
user013,48
user114,5
user020,75
user050,78
user022,86
user050,81
user022,33
user110,27
user068,110
user095,28
user068,111
user007,92
user005,106
user080,59
user124,34
user101,64
user090,70
user111,122
user105,122
user090,64
user036,94
user056,114
user079,112
user100,42
user114,33
user018,113
user102,20
user076,22
user035,57
user125,94
user114,115
user124,37
user022,19
user068,54
user018,44
user042,40
user079,124
user004,23
user061,39
user073,111
user087,3
user046,75
user101,53
user121,110
user036,99
user012,79
user042,62
user109,119
user120,99
user059,31
user104,78
user068,122
user111,65
user068,84
user035,123
user101,58
user067,44
user082,71
user024,106
user042,98
user100,110
user052,28
user074,7
user026,16
user046,58
user079,3
user005,115
user094,32
user090,90
user041,5
user015,71
user022,13
