Cuisine,Allergy,MealType
Italian,Gluten,Breakfast
Italian,Gluten,Lunch
Italian,Gluten,Dinner
Italian,Gluten,Dessert
Italian,Gluten,Snack
Italian,Dairy,Breakfast
Italian,Dairy,Lunch
Italian,Dairy,Dinner
Italian,Dairy,Dessert
Italian,Dairy,Snack
Italian,Nuts,Breakfast
Italian,Nuts,Lunch
Italian,Nuts,Dinner
Italian,Nuts,Dessert
Italian,Nuts,Snack
Italian,Shellfish,Breakfast
Italian,Shellfish,Lunch
Italian,Shellfish,Dinner
Italian,Shellfish,Dessert
Italian,Shellfish,Snack
Italian,Eggs,Breakfast
Italian,Eggs,Lunch
Italian,Eggs,Dinner
Italian,Eggs,Dessert
Italian,Eggs,Snack
Italian,Soy,Breakfast
Italian,Soy,Lunch
Italian,Soy,Dinner
Italian,Soy,Dessert
Italian,Soy,Snack
Mexican,Gluten,Breakfast
Mexican,Gluten,Lunch
Mexican,Gluten,Dinner
Mexican,Gluten,Dessert
Mexican,Gluten,Snack
Mexican,Dairy,Breakfast
Mexican,Dairy,Lunch
Mexican,Dairy,Dinner
Mexican,Dairy,Dessert
Mexican,Dairy,Snack
Mexican,Nuts,Breakfast
Mexican,Nuts,Lunch
Mexican,Nuts,Dinner
Mexican,Nuts,Dessert
Mexican,Nuts,Snack
Mexican,Shellfish,Breakfast
Mexican,Shellfish,Lunch
Mexican,Shellfish,Dinner
Mexican,Shellfish,Dessert
Mexican,Shellfish,Snack
Mexican,Eggs,Breakfast
Mexican,Eggs,Lunch
Mexican,Eggs,Dinner
Mexican,Eggs,Dessert
Mexican,Eggs,Snack
Mexican,Soy,Breakfast
Mexican,Soy,Lunch
Mexican,Soy,Dinner
Mexican,Soy,Dessert
Mexican,Soy,Snack
Chinese,Gluten,Breakfast
Chinese,Gluten,Lunch
Chinese,Gluten,Dinner
Chinese,Gluten,Dessert
Chinese,Gluten,Snack
Chinese,Dairy,Breakfast
Chinese,Dairy,Lunch
Chinese,Dairy,Dinner
Chinese,Dairy,Dessert
Chinese,Dairy,Snack
Chinese,Nuts,Breakfast
Chinese,Nuts,Lunch
Chinese,Nuts,Dinner
Chinese,Nuts,Dessert
Chinese,Nuts,Snack
Chinese,Shellfish,Breakfast
Chinese,Shellfish,Lunch
Chinese,Shellfish,Dinner
Chinese,Shellfish,Dessert
Chinese,Shellfish,Snack
Chinese,Eggs,Breakfast
Chinese,Eggs,Lunch
Chinese,Eggs,Dinner
Chinese,Eggs,Dessert
Chinese,Eggs,Snack
Chinese,Soy,Breakfast
Chinese,Soy,Lunch
Chinese,Soy,Dinner
Chinese,Soy,Dessert
Chinese,Soy,Snack
Indian,Gluten,Breakfast
Indian,Gluten,Lunch
Indian,Gluten,Dinner
Indian,Gluten,Dessert
Indian,Gluten,Snack
Indian,Dairy,Breakfast
Indian,Dairy,Lunch
Indian,Dairy,Dinner
Indian,Dairy,Dessert
Indian,Dairy,Snack
Indian,Nuts,Breakfast
Indian,Nuts,Lunch
Indian,Nuts,Dinner
Indian,Nuts,Dessert
Indian,Nuts,Snack
Indian,Shellfish,Breakfast
Indian,Shellfish,Lunch
Indian,Shellfish,Dinner
Indian,Shellfish,Dessert
Indian,Shellfish,Snack
Indian,Eggs,Breakfast
Indian,Eggs,Lunch
Indian,Eggs,Dinner
Indian,Eggs,Dessert
Indian,Eggs,Snack
Indian,Soy,Breakfast
Indian,Soy,Lunch
Indian,Soy,Dinner
Indian,Soy,Dessert
Indian,Soy,Snack
Japanese,Gluten,Breakfast
Japanese,Gluten,Lunch
Japanese,Gluten,Dinner
Japanese,Gluten,Dessert
Japanese,Gluten,Snack
Japanese,Dairy,Breakfast
Japanese,Dairy,Lunch
Japanese,Dairy,Dinner
Japanese,Dairy,Dessert
Japanese,Dairy,Snack
Japanese,Nuts,Breakfast
Japanese,Nuts,Lunch
Japanese,Nuts,Dinner
Japanese,Nuts,Dessert
Japanese,Nuts,Snack
Japanese,Shellfish,Breakfast
Japanese,Shellfish,Lunch
Japanese,Shellfish,Dinner
Japanese,Shellfish,Dessert
Japanese,Shellfish,Snack
Japanese,Eggs,Breakfast
Japanese,Eggs,Lunch
Japanese,Eggs,Dinner
Japanese,Eggs,Dessert
Japanese,Eggs,Snack
Japanese,Soy,Breakfast
Japanese,Soy,Lunch
Japanese,Soy,Dinner
Japanese,Soy,Dessert
Japanese,Soy,Snack
American,Gluten,Breakfast
American,Gluten,Lunch
American,Gluten,Dinner
American,Gluten,Dessert
American,Gluten,Snack
American,Dairy,Breakfast
American,Dairy,Lunch
American,Dairy,Dinner
American,Dairy,Dessert
American,Dairy,Snack
American,Nuts,Breakfast
American,Nuts,Lunch
American,Nuts,Dinner
American,Nuts,Dessert
American,Nuts,Snack
American,Shellfish,Breakfast
American,Shellfish,Lunch
American,Shellfish,Dinner
American,Shellfish,Dessert
American,Shellfish,Snack
American,Eggs,Breakfast
American,Eggs,Lunch
American,Eggs,Dinner
American,Eggs,Dessert
American,Eggs,Snack
American,Soy,Breakfast
American,Soy,Lunch
American,Soy,Dinner
American,Soy,Dessert
American,Soy,Snack
Mediterranean,Gluten,Breakfast
Mediterranean,Gluten,Lunch
Mediterranean,Gluten,Dinner
Mediterranean,Gluten,Dessert
Mediterranean,Gluten,Snack
Mediterranean,Dairy,Breakfast
Mediterranean,Dairy,Lunch
Mediterranean,Dairy,Dinner
Mediterranean,Dairy,Dessert
Mediterranean,Dairy,Snack
Mediterranean,Nuts,Breakfast
Mediterranean,Nuts,Lunch
Mediterranean,Nuts,Dinner
Mediterranean,Nuts,Dessert
Mediterranean,Nuts,Snack
Mediterranean,Shellfish,Breakfast
Mediterranean,Shellfish,Lunch
Mediterranean,Shellfish,Dinner
Mediterranean,Shellfish,Dessert
Mediterranean,Shellfish,Snack
Mediterranean,Eggs,Breakfast
Mediterranean,Eggs,Lunch
Mediterranean,Eggs,Dinner
Mediterranean,Eggs,Dessert
Mediterranean,Eggs,Snack
Mediterranean,Soy,Breakfast
Mediterranean,Soy,Lunch
Mediterranean,Soy,Dinner
Mediterranean,Soy,Dessert
Mediterranean,Soy,Snack
