AlertID,Type,Timestamp,AssignedTo,LogID
1,Performance,2023-05-04 04:58:48,terrelljennifer,22
2,Security,2024-02-06 12:09:17,richardvaldez,3
3,System,2022-11-18 19:41:25,jonesthomas,9
4,System,2021-02-13 13:00:55,rmorgan,8
5,Security,2020-08-08 02:14:04,brittanywilliams,26
6,System,2020-11-15 09:33:19,richardvaldez,8
7,User,2020-08-29 10:26:15,richardweiss,5
8,Security,2021-07-29 12:57:20,susansmith,15
9,System,2024-12-17 05:01:22,ttorres,1
10,Security,2024-01-13 00:50:01,escobarthomas,28
11,User,2024-08-26 06:48:42,tammylawson,16
12,System,2020-01-09 04:25:31,joshua97,24
13,User,2024-08-24 17:20:38,youngdavid,11
14,Security,2023-11-02 15:46:56,richardweiss,12
15,System,2021-08-03 21:33:15,escobarthomas,15
16,System,2021-01-14 02:24:03,escobarthomas,7
17,User,2023-10-07 20:03:16,brittanywilliams,21
18,User,2024-05-21 22:33:33,richardweiss,25
19,User,2021-03-15 08:10:39,richardvaldez,9
20,Security,2024-12-07 13:42:36,wilsonjason,34
21,System,2024-09-07 00:43:53,tammylawson,11
22,User,2020-10-13 08:12:56,ebrooks,30
23,Performance,2022-08-16 13:30:18,andrew10,13
24,User,2022-06-15 14:33:16,joshua97,3
25,System,2020-07-20 23:52:34,romerojonathon,19
26,System,2025-03-19 02:40:58,gilmorejeremiah,28
27,Security,2022-05-14 13:48:31,terrelljennifer,15
28,Security,2022-07-11 01:10:24,romerojonathon,12
29,Performance,2020-10-12 14:28:37,codycooper,28
30,System,2020-05-22 17:51:55,wattsrandy,3
31,System,2022-02-28 05:53:02,jessicaanthony,13
32,User,2022-09-04 18:38:44,andrew10,26
33,System,2020-03-16 22:36:38,terrelljennifer,7
34,Security,2021-08-25 09:58:51,fosterglenn,11
35,Security,2024-03-13 08:27:17,larry81,15
