RecipeID,TagID
18,5
31,2
22,7
18,10
6,9
22,4
2,2
7,3
28,3
13,5
14,10
29,8
8,5
18,1
13,2
17,2
25,3
16,6
34,10
32,2
5,6
10,8
28,8
19,10
10,2
33,1
15,5
19,5
19,7
13,6
12,10
22,5
9,6
21,6
2,6
13,7
1,10
10,1
29,2
4,3
9,2
19,4
3,1
18,7
32,8
8,10
33,10
31,9
14,7
26,3
7,6
1,9
15,8
24,9
2,3
20,8
26,10
26,8
26,1
34,6
29,7
2,8
18,4
3,9
35,2
31,4
12,4
8,4
33,2
5,5
26,9
12,9
21,7
6,7
14,9
31,10
33,4
5,9
35,9
14,3
9,3
23,8
30,6
10,10
24,1
16,7
5,2
8,1
22,2
32,3
7,1
23,6
24,8
29,9
2,10
22,6
24,4
19,8
23,3
27,9
7,4
2,7
6,6
15,3
14,5
19,9
35,8
15,10
17,3
16,1
33,8
14,6
17,6
9,10
23,1
4,10
21,10
31,3
11,7
22,1
4,7
13,3
11,3
